date,acres,county,cause,lat,lon,binlat,binlon
Apr,0.0,COWLITZ,Lightning,45.974538,-122.566096,4,3
Sep,0.1,KLICKITAT,Recreation,45.949045,-120.936921,4,5
Jul,0.2,SPOKANE,Debris Burn,47.534461,-117.252176,2,8
Jul,0.0,PIERCE,Recreation,46.997872,-121.916383,3,4
Jun,0.0,KLICKITAT,Lightning,45.978878,-121.146317,4,4
Jul,0.3,GRAYS HARBOR,Debris Burn,47.328694,-124.018149,2,1
Jul,0.1,THURSTON,Children,47.01767,-122.749127,2,3
Apr,3.0,SKAMANIA,Debris Burn,45.821661,-121.914622,4,4
Jun,0.3,SAN JUAN,Debris Burn,48.469036,-123.020414,1,2
Aug,0.2,STEVENS,Lightning,48.011755,-117.640729,1,8
Aug,0.1,SPOKANE,Miscellaneou,47.462055,-117.620786,2,8
Jun,0.1,CHELAN,Recreation,47.288035,-120.347885,2,5
Sep,0.5,KING,Logging,47.771192,-121.528455,2,4
Aug,0.1,KITSAP,Arson,47.633975,-122.775295,2,3
Aug,0.0,ISLAND,Children,48.188652,-122.648428,1,3
Oct,0.1,THURSTON,Debris Burn,47.093863,-123.072466,2,2
Sep,0.2,THURSTON,Debris Burn,47.093863,-123.072466,2,2
Jul,0.0,STEVENS,Recreation,48.66195,-118.073182,1,7
Jun,0.2,STEVENS,Miscellaneou,48.66195,-118.073182,1,7
Jun,7.0,STEVENS,Railroad,48.66195,-118.073182,1,7
Jun,4.2,STEVENS,Railroad,48.66195,-118.073182,1,7
Jul,0.2,STEVENS,Children,48.66195,-118.073182,1,7
Jun,7.0,OKANOGAN,Lightning,48.947028,-119.361285,1,6
Jul,0.1,PIERCE,Miscellaneou,46.989023,-122.283338,3,3
Sep,0.0,FERRY,Debris Burn,48.789597,-118.159196,1,7
Oct,0.2,SAN JUAN,Miscellaneou,48.489839,-122.83156,1,3
Jul,0.1,GRAYS HARBOR,Recreation,47.192868,-124.20046,2,1
Jul,12.0,LINCOLN,Lightning,47.804551,-117.967425,2,8
Jul,0.2,SPOKANE,Miscellaneou,47.763696,-117.066253,2,8
Aug,0.1,OKANOGAN,Recreation,48.590652,-119.505833,1,6
Jan,0.0,SPOKANE,Debris Burn,47.677274,-117.493707,2,8
Jul,0.5,STEVENS,Lightning,48.475923,-117.706498,1,8
Jul,0.1,KING,Lightning,47.693285,-121.660327,2,4
Jan,0.0,FERRY,Miscellaneou,48.789366,-118.60663,1,7
Aug,23.0,FERRY,Miscellaneou,48.789366,-118.60663,1,7
Aug,0.1,KLICKITAT,Arson,45.835897,-121.278456,4,4
Sep,0.2,KITTITAS,Recreation,47.155521,-120.526456,2,5
Jun,0.0,PIERCE,Lightning,47.037827,-121.989551,2,4
Aug,0.0,OKANOGAN,Lightning,48.537273,-119.406318,1,6
Apr,6.0,FERRY,Debris Burn,48.717353,-118.713699,1,7
Aug,0.1,STEVENS,Railroad,48.083229,-117.755164,1,8
Apr,7.0,FERRY,Debris Burn,48.895882,-118.219695,1,7
May,0.2,FERRY,Miscellaneou,48.895882,-118.219695,1,7
Jul,0.1,PIERCE,Children,47.103701,-122.346879,2,3
Jul,0.5,PIERCE,Debris Burn,47.103701,-122.346879,2,3
Sep,0.1,CLALLAM,Debris Burn,47.92666,-124.532843,2,1
Jul,0.1,CLALLAM,Recreation,48.00872,-123.083002,1,2
Nov,18.0,COWLITZ,Debris Burn,46.037843,-122.449926,3,3
Jul,0.1,SPOKANE,Miscellaneou,47.541773,-117.553369,2,8
Oct,2.5,STEVENS,Recreation,48.532975,-117.813553,1,8
Sep,0.6,STEVENS,Recreation,48.532975,-117.813553,1,8
Sep,0.1,STEVENS,Lightning,48.3531,-117.910488,1,8
Jul,3.0,COWLITZ,Children,46.154889,-123.054456,3,2
Jul,0.1,SPOKANE,Recreation,47.716636,-117.344114,2,8
Aug,0.1,CLALLAM,Miscellaneou,48.06527,-123.264644,1,2
Jan,0.0,CLALLAM,Debris Burn,48.06527,-123.264644,1,2
Jun,0.0,KLICKITAT,Children,45.718075,-121.467583,4,4
Aug,0.0,PEND OREILLE,Children,48.258776,-117.184506,1,8
Aug,0.2,PACIFIC,Debris Burn,46.572181,-123.598772,3,2
May,0.2,STEVENS,Debris Burn,48.261571,-118.010353,1,7
Jan,0.1,KITTITAS,Debris Burn,47.103431,-121.099418,2,4
Jun,0.1,LEWIS,Miscellaneou,46.555806,-122.853166,3,3
Jun,1.5,MASON,Recreation,47.367554,-122.876392,2,3
May,0.3,KITTITAS,Recreation,46.969027,-120.796486,3,5
Jul,0.1,STEVENS,Recreation,48.893203,-117.833411,1,8
Jun,1.0,YAKIMA,Smoker,46.710075,-120.474595,3,5
Jul,0.1,THURSTON,Children,46.950594,-122.730935,3,3
Jul,0.1,KITSAP,Miscellaneou,47.485739,-122.7928,2,3
Aug,0.1,PIERCE,Children,46.946737,-122.466291,3,3
